Nazwa produktu,Cena,Objętość[l],Zawartość alkoholu [%]
Krupnik premium,6,0.1,40
Soplica szlachetna,11,0.2,40
Żubrówka Biała,19,0.5,40
Luksusowa,20,0.7,40
Vodka palace,25,0.5,40
Sobieski,23,0.5,40
żubrówka bison gras,16,0.5,38
lubuski,22,0.5,40
simrnoff black,30,0.5,40
żołądkowa gorzka de lux,20,0.5,40
