Nazwa produktu,Cena,Objętość[l],Zawartość alkoholu [%],ID
Krupnik premium,5.99,0.1,40,21
Soplica szlachetna,10.49,0.2,40,22
Żubrówka Biała,18.99,0.5,40,11,23
Luksusowa,28.99,0.7,40,12,24
Vodka palace,25,0.5,40,25
Spirytus Lubelski,51,0.5,95,26
żubrówka bison gras,16,0.5,38,27
lubuski,22,0.5,40,28
simrnoff black,30,0.5,40,29
żołądkowa gorzka de lux,20,0.5,40,30
