Nazwa produktu,Cena,Objętość[l],Zawartość alkoholu [%],ID
Harnas,2.2,0.55,6,1
Perla Export,3.0,0.5,5.6,2
Okocim Mocne,3.3,0.5,7.5,3
Karpackie Pils,2.0,0.5,4,4
Docktor brew American IPA,8,0.5,6.2,5
Żywiec Marcowe,3.5,0.5,5.4,6
Namysłów pils,2.49,0.5,6.0,7
Lech shendy,2.78,0.5,2.5,8
Pinta pierwsza pomoc,4.59,0.5,4.2,9
Tesco value,2,0.5,4.0,10
